i	Operation	Size_i	Num_i	C_i	Phi_i	C_i'
1	I	1	1	1	1	2
2	I	2	2	2	2	3
3	I	4	3	3	2	3
4	I	4	4	1	4	3
5	D	4	3	1	2	-1
6	D	4	2	1	0	-1
7	D	2	1	2	0	2
8	I	2	2	1	2	3
9	I	4	3	3	2	3
10	I	4	4	1	4	3
11	I	8	5	5	2	3
12	I	8	6	1	4	3
13	I	8	7	1	6	3
14	I	8	8	1	8	3
15	I	16	9	9	2	3
16	D	16	8	1	0	-1
17	D	16	7	1	1	2
18	D	16	6	1	2	2
19	D	16	5	1	3	2
20	D	8	4	5	0	2
21	D	8	3	1	1	2
22	D	4	2	3	0	2
23	I	4	3	1	2	3
24	I	4	4	1	4	3
25	I	8	5	5	2	3
26	I	8	6	1	4	3
27	I	8	7	1	6	3
28	I	8	8	1	8	3
29	I	16	9	9	2	3
30	I	16	10	1	4	3
31	I	16	11	1	6	3
32	I	16	12	1	8	3
33	I	16	13	1	10	3
34	I	16	14	1	12	3
35	I	16	15	1	14	3
36	I	16	16	1	16	3
37	I	32	17	17	2	3
38	D	32	16	1	0	-1
39	D	32	15	1	1	2
40	D	32	14	1	2	2
41	D	32	13	1	3	2
42	D	32	12	1	4	2
43	D	32	11	1	5	2
44	D	32	10	1	6	2
45	D	32	9	1	7	2
46	D	16	8	9	0	2
47	D	16	7	1	1	2
48	D	16	6	1	2	2
49	D	16	5	1	3	2
50	D	8	4	5	0	2
